,pixel,threshold,asic,x,y
437,212,63.0,1,14,2
438,213,12.0,1,14,3
439,214,12.0,1,14,4
440,215,12.0,1,14,5
441,216,63.0,1,14,6
442,217,63.0,1,14,7
443,218,12.0,1,14,8
444,219,12.0,1,14,9
445,220,12.0,1,14,10
446,221,11.0,1,14,11
447,222,12.0,1,14,12
448,223,12.0,1,14,13
449,224,12.0,1,14,14
